Workout_ID,Phase,Workout_Name,Category,Order,Exercise_Name,P1-A,Abs-A
P1-A,Phase 1,Workout A: Push Focus,Main,1,Air Squat,P1-A,Abs-A
P1-A,Phase 1,Workout A: Push Focus,Main,2,Glute Bridge,P1-A,Abs-A
P1-A,Phase 1,Workout A: Push Focus,Main,3,Incline Push-up,P1-A,Abs-A
P1-A,Phase 1,Workout A: Push Focus,Main,4,Floor Press + Mod Push-up,P1-A,Abs-A
P1-A,Phase 1,Workout A: Push Focus,Main,5,Dips,P1-A,Abs-A
P1-A,Phase 1,Workout A: Push Focus,Main,6,Plank (Variations),P1-A,Abs-A
P1-A,Phase 1,Workout A: Push Focus,Main,7,Mountain Climbers + Air Squats,P1-A,Abs-A
P1-A,Phase 1,Workout A: Push Focus,Main,8,Cobra Stretch,P1-A,Abs-A
P1-A,Phase 1,Workout A: Push Focus,Main,9,Bear Crawl,P1-A,Abs-A
P1-A,Phase 1,Workout A: Push Focus,Main,10,Glute Bridge Hold,P1-B,Abs-A
P1-B,Phase 1,Workout B: Pull Focus,Main,1,Reverse Lunge,P1-B,Abs-A
P1-B,Phase 1,Workout B: Pull Focus,Main,2,Single-Leg Reach (Bulg Squat),P1-B,Abs-B
P1-B,Phase 1,Workout B: Pull Focus,Main,3,Pull up/Lat Pulldown,P1-B,Abs-B
P1-B,Phase 1,Workout B: Pull Focus,Main,4,Mid Row,P1-B,Abs-B
P1-B,Phase 1,Workout B: Pull Focus,Main,5,RDL,P1-B,Abs-B
P1-B,Phase 1,Workout B: Pull Focus,Main,6,Cable Pullover,P1-B,Abs-B
P1-B,Phase 1,Workout B: Pull Focus,Main,7,Towel Curls,P1-B,Abs-B
P1-B,Phase 1,Workout B: Pull Focus,Main,8,Hammer Curl,P1-B,Abs-B
P1-B,Phase 1,Workout B: Pull Focus,Main,9,Bear Crawl,P1-B,Abs-B
P1-B,Phase 1,Workout B: Pull Focus,Main,10,Glute Bridge (Pulsing),P1-C,Abs-B
P1-C,Phase 1,Workout C: Stability,Main,1,Box Squat,P1-C,Abs-B
P1-C,Phase 1,Workout C: Stability,Main,2,Step-ups/Weighted,P1-C,Abs-B
P1-C,Phase 1,Workout C: Stability,Main,3,Landmine,P1-C,Abs-B
P1-C,Phase 1,Workout C: Stability,Main,4,Squat Press (DB/Bar),P1-C,Abs-C
P1-C,Phase 1,Workout C: Stability,Main,5,Cable Squat Row,P1-C,Abs-C
P1-C,Phase 1,Workout C: Stability,Main,6,Cable Torso Rotations,P1-C,Abs-C
P1-C,Phase 1,Workout C: Stability,Main,7,Scapular Push-ups,P1-C,Abs-C
P1-C,Phase 1,Workout C: Stability,Main,8,Scapular Pull-up,P1-C,Abs-C
P1-C,Phase 1,Workout C: Stability,Main,9,Plank Taps,P1-C,Abs-C
P1-C,Phase 1,Workout C: Stability,Main,10,BW Back Extensions,P1-D,Abs-C
P1-D,Phase 1,Workout D: Lateral/Total,Main,1,Lateral Lunge,P1-D,Abs-C
P1-D,Phase 1,Workout D: Lateral/Total,Main,2,Wall Sit,P1-D,Abs-C
P1-D,Phase 1,Workout D: Lateral/Total,Main,3,Plank-to-Pushup,P1-D,Abs-C
P1-D,Phase 1,Workout D: Lateral/Total,Main,4,Box Jump,P1-D,Abs-C
P1-D,Phase 1,Workout D: Lateral/Total,Main,5,Side Planks,P1-D,Abs-C
P1-D,Phase 1,Workout D: Lateral/Total,Main,6,Ball Squat Toss,P1-D,Abs-D
P1-D,Phase 1,Workout D: Lateral/Total,Main,7,Single-Leg Step-Up,P1-D,Abs-D
P1-D,Phase 1,Workout D: Lateral/Total,Main,8,Hip Circles,P1-D,Abs-D
P1-D,Phase 1,Workout D: Lateral/Total,Main,9,Mountain Climbers,P1-D,Abs-D
P1-D,Phase 1,Workout D: Lateral/Total,Main,10,In-Out Jumping Jacks,P2-A,Abs-D
P2-A,Phase 2,Workout A: Push Focus,Main,1,Skater Jumps ,P2-A,Abs-D
P2-A,Phase 2,Workout A: Push Focus,Main,2,Jump Squats ,P2-A,Abs-D
P2-A,Phase 2,Workout A: Push Focus,Main,3,Tempo Push-ups ,P2-A,Abs-D
P2-A,Phase 2,Workout A: Push Focus,Main,4,Chest Pass (Med Ball) ,P2-A,Abs-D
P2-A,Phase 2,Workout A: Push Focus,Main,5,Plank Jacks ,P2-A,Abs-D
P2-A,Phase 2,Workout A: Push Focus,Main,6,Flutter Kicks ,P2-A,Abs-D
P2-A,Phase 2,Workout A: Push Focus,Main,7,T-Pushups ,P2-A,Abs-D
P2-A,Phase 2,Workout A: Push Focus,Main,8,High Knees (s) ,P2-A,
P2-A,Phase 2,Workout A: Push Focus,Main,9,Box Jumps ,P2-A,
P2-A,Phase 2,Workout A: Push Focus,Main,10,Deadbug (Weighted) ,P2-B,
P2-B,Phase 2,Workout B: Pull Focus,Main,1,Box Step-ups ,P2-B,
P2-B,Phase 2,Workout B: Pull Focus,Main,2,Walking Lunges ,P2-B,
P2-B,Phase 2,Workout B: Pull Focus,Main,3,Chin-up Negatives ,P2-B,
P2-B,Phase 2,Workout B: Pull Focus,Main,4,Med Ball Slams ,P2-B,
P2-B,Phase 2,Workout B: Pull Focus,Main,5,Mountain Climbers ,P2-B,
P2-B,Phase 2,Workout B: Pull Focus,Main,6,Bicycle Crunches ,P2-B,
P2-B,Phase 2,Workout B: Pull Focus,Main,7,Cable Face Pulls ,P2-B,
P2-B,Phase 2,Workout B: Pull Focus,Main,8,Butt Kicks (s) ,P2-B,
P2-B,Phase 2,Workout B: Pull Focus,Main,9,Single-Leg Hops ,P2-B,
P2-B,Phase 2,Workout B: Pull Focus,Main,10,Plank (Weighted) ,P2-C,
P2-C,Phase 2,Workout C: Shoulder Focus,Main,1,Rope Ladder Broad Jumps ,P2-C,
P2-C,Phase 2,Workout C: Shoulder Focus,Main,2,Lateral Bounds ,P2-C,
P2-C,Phase 2,Workout C: Shoulder Focus,Main,3,Med Ball Overhead Hold ,P2-C,
P2-C,Phase 2,Workout C: Shoulder Focus,Main,4,Wall Balls ,P2-C,
P2-C,Phase 2,Workout C: Shoulder Focus,Main,5,Russian Twists ,P2-C,
P2-C,Phase 2,Workout C: Shoulder Focus,Main,6,Static Squat Cable Torso Rotations ,P2-C,
P2-C,Phase 2,Workout C: Shoulder Focus,Main,7,Pike Push-ups ,P2-C,
P2-C,Phase 2,Workout C: Shoulder Focus,Main,8,Jumping Jacks (s) ,P2-C,
