id,name,muscle_group,category,created_at,form_notes,help_url,equipment
9580f0d6-6df5-463f-8f54-f03a37ecd227,Hand Walks,null,strength,2026-04-15 13:56:27.022854+00,null,null,Bodyweight
2fa2d1d3-4ea2-420a-a514-fd0800e0d90f,Bench Press,Chest,strength,2026-03-01 00:05:46.651691+00,"Lie on bench with feet flat on floor. Grip bar just outside shoulder-width, wrists stacked directly over elbows. Lower bar to mid-chest under control. Press to full extension. Maintain a slight arch, keep shoulder blades retracted and depressed throughout.",https://youtu.be/hWbUlkb5Ms4,Barbell
300ee56b-df67-4e5e-aff8-51ce6416e171,Deadlift,Back,strength,2026-03-01 00:05:46.651691+00,"Stand with bar over mid-foot, hip-width stance. Hinge and grip just outside shins. Drive chest tall and brace core hard before initiating the lift. Push the floor away — bar stays in contact with the legs. Hips and shoulders rise at the same rate. Lock out fully at the top. Hinge back with control on the descent.",https://youtu.be/MBbyAqvTNkU,Barbell
fff3711b-38a4-487e-93d0-7c52efdbe890,Barbell Row,Back,strength,2026-03-01 00:05:46.651691+00,"Hinge forward ~45° with flat back, overhand grip just outside shoulder-width. Pull bar to lower chest or navel, driving elbows straight back. Squeeze shoulder blades together at the top. Lower with control. Keep spine neutral throughout.",https://youtu.be/axoeDmW0oAY,Barbell
ef3cb3d8-f697-463a-b77e-a4692e2c9c01,Incline Bench Press,Chest,strength,2026-03-01 00:05:46.651691+00,Set bench to 30–45°. Lower barbell to upper chest or clavicle level under control. Press to full extension. The incline angle targets the upper pec and anterior delt. Keep shoulder blades pinched and depressed throughout. Elbows should be at approximately 75° from the torso — not flared out 90°.,https://youtu.be/3bBng_VzwMA,Barbell
b6e39f07-c69d-4a85-8d00-114466ab6e12,Box Squat,Legs,strength,2026-03-02 23:50:57.793365+00,"Set box height at or just below parallel. Sit back onto the box by pushing hips back, not straight down. Touch the box briefly without rocking or relaxing, then drive through heels to stand. Keep chest tall and knees tracking over toes throughout.",https://youtu.be/UFs6E3Ti1jg,Barbell
45d918fa-d696-48ae-9554-89761ec98837,decline DB press,Chest,strength,2026-03-22 23:17:08.383963+00,Set bench to 15–30° decline. Press dumbbells from chest level to full extension. Control the descent. The decline angle targets the lower pecs. Shoulder blades remain retracted throughout. Secure feet on footpad before un-racking.,https://youtu.be/Pf1nDoqx_1A,Dumbbell
2be4ff68-fb19-42cc-afbf-beee30488728,flat bench,Chest,strength,2026-03-22 23:17:38.207954+00,Lie flat on a bench holding dumbbells. Press from chest level to full extension overhead. Control the descent with a 2–3 second lowering. Keep shoulder blades retracted and depressed. Do not let dumbbells drift over the face. Wrists stay neutral.,https://youtu.be/1V3vpcaxRYQ,Barbell
607f9637-4ba5-48cc-8034-736b22b5d04e,flat bench press,Chest,strength,2026-03-22 19:31:23.379368+00,"Lie flat on bench with feet on the floor. Grip barbell slightly wider than shoulder-width. Lower to mid-chest under control — 2–3 seconds down. Press to full extension. Maintain slight arch in lower back. Bar path traces a slight diagonal, not straight up. Shoulder blades retracted and depressed throughout.",https://youtu.be/hWbUlkb5Ms4,Barbell
00d89f12-af2c-43b1-841c-3d28a88dc554,Single-Arm Dumbbell Row,Back,strength,2026-04-11 13:58:03.684572+00,"1. Stand hip-width; dumbbell in one hand neutral grip
2. Hinge at hips until torso is parallel to the floor; non-working arm braced on bench or thigh
3. Pull dumbbell to hip — lead with elbow, not with the hand
4. Full extension at the bottom; full retraction at the top
5. Do not rotate the torso — keep hips square
Cues: ""Elbow to the ceiling,"" ""row to your hip pocket,"" ""control the descent""",https://youtu.be/qN54-QNO1eQ,Dumbbell
ed4488e7-1a31-40c1-83d3-60a3f90b530a,Step Mill,Legs,cardio,2026-03-25 01:16:43.576098+00,null,https://youtu.be/6mYp_BNYD5Y,Machine
c2772c87-8261-4d10-ae3c-ccf5e65f7ccd,Modified Pullups,Back,strength,2026-04-15 13:57:12.381531+00,null,null,Bodyweight
